"Timestamp","Total score","Work (Before Covid)","Work (Before Covid) [Score]","Work (Before Covid) [Feedback]","Work (After Covid)","Work (After Covid) [Score]","Work (After Covid) [Feedback]","Bar (Before Covid)","Bar (Before Covid) [Score]","Bar (Before Covid) [Feedback]","Bar (After Covid)","Bar (After Covid) [Score]","Bar (After Covid) [Feedback]","Park (Before Covid)","Park (Before Covid) [Score]","Park (Before Covid) [Feedback]","Park (After Covid)","Park (After Covid) [Score]","Park (After Covid) [Feedback]","Beach (Before Covid)","Beach (Before Covid) [Score]","Beach (Before Covid) [Feedback]","Beach (After Covid)","Beach (After Covid) [Score]","Beach (After Covid) [Feedback]","School (Before Covid)","School (Before Covid) [Score]","School (Before Covid) [Feedback]","School (After Covid)","School (After Covid) [Score]","School (After Covid) [Feedback]","Gym (Before Covid)","Gym (Before Covid) [Score]","Gym (Before Covid) [Feedback]","Gym (After Covid)","Gym (After Covid) [Score]","Gym (After Covid) [Feedback]","Home (Before Covid)","Home (Before Covid) [Score]","Home (Before Covid) [Feedback]","Home (After Covid)","Home (After Covid) [Score]","Home (After Covid) [Feedback]"
"2020/11/24 7:05:52 PM PST","0.00 / 0","20+","-- / 0","","1 hour+","-- / 0","","1 hour+","-- / 0","",".5 hours+","-- / 0","","1 hour+","-- / 0","","10+","-- / 0","",".5 hours+","-- / 0","",".5 hours+","-- / 0","",".5 hours+","-- / 0","","20+","-- / 0","",".5 hours+","-- / 0","",".5 hours+","-- / 0","","40+","-- / 0","","50+","-- / 0",""
"2020/11/24 7:09:31 PM PST","0.00 / 0","10+","-- / 0","","10+","-- / 0","","1 hour+","-- / 0","",".5 hours+","-- / 0","","20+","-- / 0","","50+","-- / 0","","10+","-- / 0","","40+","-- / 0","",".5 hours+","-- / 0","","50+","-- / 0","","20+","-- / 0","","1 hour+","-- / 0","","40+","-- / 0","","50+","-- / 0",""
"2020/11/24 7:09:32 PM PST","0.00 / 0","10+","-- / 0","","1 hour+","-- / 0","","10+","-- / 0","","10+","-- / 0","","40+","-- / 0","","30+","-- / 0","","30+","-- / 0","","20+","-- / 0","","20+","-- / 0","","20+","-- / 0","","20+","-- / 0","","40+","-- / 0","","20+","-- / 0","","20+","-- / 0",""
